Dosya Adi,Okunan Plaka,PARSeq Skor
cyprus (30).jpg,AB342K,0.95
cyprus (300).jpg,ZJ282,0.99
cyprus (31).jpg,AA122Z,0.91
cyprus (32).jpg,AB037J,0.97
cyprus (33).jpg,T037T,0.68
cyprus (34).jpg,AAA1032,0.91
cyprus (35).jpg,AB400D,0.93
cyprus (36).jpg,AB501N,0.98
cyprus (37).jpg,AB28GE,0.94
cyprus (38).jpg,AB666N,0.98
cyprus (39).jpg,AA153V,0.91
cyprus (4).jpg,VT434,1.00
cyprus (40).jpg,564E,0.99
cyprus (41).jpg,MMN306,0.99
cyprus (42).jpg,KR218,0.96
cyprus (43).jpg,UT737,0.93
cyprus (44).jpg,AA248R,1.00
cyprus (45).jpg,1AA317L,0.69
cyprus (46).jpg,IINJ017,0.88
cyprus (47).jpg,ESVV515,0.68
cyprus (48).jpg,YB349,0.99
cyprus (49).jpg,IIIUY784,0.92
cyprus (5).jpg,SA316,1.00
cyprus (50).jpg,1ZL036,0.79
cyprus (51).jpg,SU314,0.97
cyprus (52).jpg,KTU598,1.00
cyprus (53).jpg,LZ631,1.00
cyprus (54).jpg,AB28GE,0.95
cyprus (55).jpg,AB342K,0.91
cyprus (56).jpg,UB853,0.98
cyprus (57).jpg,IIAA54ON,0.91
cyprus (58).jpg,YF192,0.99
cyprus (59).jpg,7UT604,0.64
cyprus (6).jpg,PD151,1.00
cyprus (60).jpg,MA837,1.00
cyprus (61).jpg,PE149,0.83
cyprus (62).jpg,PF746,1.00
cyprus (63).jpg,ZY034,0.99
cyprus (64).jpg,SN736,1.00
cyprus (65).jpg,ZY034,0.99
cyprus (66).jpg,8ZR137,0.76
cyprus (67).jpg,ZJ303,0.72
cyprus (68).jpg,IISU820,0.83
cyprus (69).jpg,1AA495N,0.64
cyprus (7).jpg,JN557,0.84
cyprus (70).jpg,ZY782,0.77
cyprus (71).jpg,MC067,0.96
cyprus (72).jpg,VG577,0.99
cyprus (73).jpg,AA261C,0.96
cyprus (74).jpg,ZJ282,1.00
cyprus (75).jpg,YE532,0.99
cyprus (76).jpg,MY044,0.99
cyprus (77).jpg,LS137,0.99
cyprus (78).jpg,ZC949,1.00
cyprus (79).jpg,UB525,0.99
cyprus (8).jpg,RV107,0.86
cyprus (80).jpg,LFU760,0.82
cyprus (81).jpg,1VB400,0.59
cyprus (82).jpg,VZ912,0.77
cyprus (83).jpg,7SP554,0.72
cyprus (84).jpg,XUM827,0.76
cyprus (85).jpg,YB602,0.75
cyprus (86).jpg,1SG805,0.63
cyprus (87).jpg,YV978,0.99
cyprus (88).jpg,SE725,1.00
cyprus (89).jpg,11VR093,0.87
cyprus (9).jpg,7VP727,0.73
cyprus (90).jpg,ZPC037,1.00
cyprus (91).jpg,MH704,0.98
cyprus (92).jpg,ZUU686,0.99
cyprus (93).jpg,YG336,0.78
cyprus (94).jpg,RT279,1.00
cyprus (95).jpg,VD710,0.98
cyprus (96).jpg,AAA691G,0.90
cyprus (97).jpg,1AA257G,0.60
cyprus (98).jpg,KD436,1.00
cyprus (99).jpg,ZR022,0.60
